nombre_empresa,rut,confianza_rut,telefono,email,instagram,facebook,tiktok,otras_redes,rubro,comuna,region,direccion,tiene_sitio_web,confianza_overture,fuente
Del Grano Café,78.150.672-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56935920527,delgranocafeteria391@gmail.com,,https://www.facebook.com/860617497140917,,,coffee shop,Ancud,,Calle Errázuriz 391,no,0.323,https://explore.overturemaps.org/#d575b81c-6614-415c-8379-d22d0edc2650
Clinica Veterinaria Ancud,77.229.323-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56652624413,clinicaveterinariaancud@gmail.com,,https://www.facebook.com/103638321244591,,,veterinarian,Ancud,,Calle Pudeto 380,no,0.827,https://explore.overturemaps.org/#9e0e068b-ed20-4b52-924d-988c86ec17c2
Ximma Chile,77.072.819-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56941285501,ximma.chile@gmail.com,,https://www.facebook.com/115634129876336,,,commercial industrial,Ancud,,Calle Las Américas 941,no,0.575,https://explore.overturemaps.org/#4fc430bb-66fd-42ef-b38f-2245fcdd44dc
Animals shop,77.893.247-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56961239235,animals.shop.spa@gmail.com,,https://www.facebook.com/229371020267553,,,pet store,Ancud,,Avenida Arturo Prat 651,no,0.412,https://explore.overturemaps.org/#e6930ef7-5d49-46aa-a796-22d9168dfa48
Diseños Ema,77.467.691-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56946775633,disenosema81@gmail.com,,https://www.facebook.com/100634088398605,,,graphic designer,Ancud,,Villa Península de La cuy - Chauman 8,no,0.123,https://explore.overturemaps.org/#456f2612-f043-4386-b8e0-fda1cfae0358
Automotora Ancud,77.968.407-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56921925131,edveralopez@gmail.com,,https://www.facebook.com/113804643602472,,,vehicle dealer,Ancud,,Avenida Almirante Latorre 1199,no,0.539,https://explore.overturemaps.org/#e9bdbf9f-91b9-473f-b750-b71989fd872d
BYB Genset Austral,77.735.758-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56961620504,bybgebset@gmail.com,,https://www.facebook.com/475872805616492,,,machine shop,Ancud,,Avenida Aníbal Pinto 1667,no,0.762,https://explore.overturemaps.org/#a513fb82-42b2-4da3-9674-c111b7aeeef1
Servitex SpA,77.939.101-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56953609567,servitexspa.ancud@gmail.com,,https://www.facebook.com/542857758909481,,,fire protection service,Ancud,,Calle Pudeto 1531,no,0.292,https://explore.overturemaps.org/#6fa6c5f8-336f-4499-beb4-c0a528cfa505
Sub/Cero Mantencion y Refrigeracion integral SpA,77.497.147-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56983790047,subcero.mantencion.integral@gmail.com,,https://www.facebook.com/103619008292205,,,commercial refrigeration,Chonchi,,Chiloe,no,0.066,https://explore.overturemaps.org/#9c79e756-5b70-469d-9f0e-1286a2e85c19
Automotriz Gallardo,78.120.783-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56941211369,automotrizgallardochonchi@gmail.com,,https://www.facebook.com/102319348860214,,,auto parts store,Chonchi,,Calle Centenario 144,no,0.965,https://explore.overturemaps.org/#993ddb8b-12db-40df-813f-a188ffe29229
Reparaciones y Servicios Chiloe,78.158.412-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56939246864,reparacionesyservicioschiloe@gmail.com,,https://www.facebook.com/106759755376807,,,hardware store,Castro,,Calle Blanco Encalada 46,no,0.82,https://explore.overturemaps.org/#f1181671-5fcb-4488-86ae-01b42b33c82f
Comercial El Puerto,78.197.184-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56920073596,comercial.elpuerto98@gmail.com,,https://www.facebook.com/1177571168768678,,,hardware store,Castro,,Calle Pedro Montt 98,no,0.265,https://explore.overturemaps.org/#1948898e-94f3-44ac-b82b-4b2c922e7c09
Venecia Chiloé,77.563.527-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56937004248,veneciachiloe@gmail.com,,https://www.facebook.com/109307021716447,,,italian restaurant,Castro,,Calle Pedro Montt 721,no,0.94,https://explore.overturemaps.org/#8d280537-6d7d-463e-99df-70a99a45392f
Élite Agencia Publicitaria,77.715.305-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56956409907,ventas.elitegs@gmail.com,,https://www.facebook.com/108270344985743,,,advertising agency,Castro,,Avenida San Martín 854,no,0.268,https://explore.overturemaps.org/#d82c9160-8ae4-427e-9df3-4325a6d72216
Insuloptica,77.323.837-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56940223165,insuloptica@gmail.com,,https://www.facebook.com/105780598322018,,,eyewear store,Castro,,Calle Sotomayor 277,no,0.511,https://explore.overturemaps.org/#a9c9a491-701f-4ed1-9bf5-57616f2a9045
Telas Rudy,77.753.997-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56965272606,telasrudy784@gmail.com,,https://www.facebook.com/119119124508298,,,fabric store,Castro,,Avenida San Martín 784,no,0.595,https://explore.overturemaps.org/#1dc04424-1bd9-4995-93c2-fd0ecd4ec2b3
Farmacéutica Chiloé,76.995.330-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56652533871,farmaceuticachiloe@gmail.com,,https://www.facebook.com/101221831270424,,,pharmacy,Castro,,Calle Gamboa 421,no,0.35,https://explore.overturemaps.org/#ea9b5167-1b9a-4f4c-a14d-ba14a010cdd1
Leiva motores,77.985.607-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56996136308,leivamotoresmarinos@gmail.com,,https://www.facebook.com/530188350519955,,,,Castro,,,no,0.538,https://explore.overturemaps.org/#d32b229f-0773-4ba8-8116-9ccba8890168
Cabañas Agua de Lluvia,77.270.352-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56977238423,cabanasaguadelluvia@gmail.com,,https://www.facebook.com/169041596299579,,,cabin,Castro,,Calle Francisco Miranda 1685,no,0.605,https://explore.overturemaps.org/#3ea24457-c614-4dbd-8143-3207849566f6
Campo Lindo SpA,77.818.005-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56946118909,campolindo2.castro@gmail.com,,https://www.facebook.com/107139941895800,,,pet store,Castro,,Ruta 5,no,0.772,https://explore.overturemaps.org/#5371af94-9c89-4a76-a5b0-d93f9ef54b67
Chiloe Horizonte,77.626.909-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56974758841,chiloehorizontespa@gmail.com,,https://www.facebook.com/103225299328068,,,travel and transportation,Castro,,Pasaje Profesora Fridolina Barrientos 1482,no,0.437,https://explore.overturemaps.org/#79772c37-e0c0-426e-b412-b2f1a8a54ecf
Centro Integral Clara Barton,77.922.074-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56990511478,centrointegralclarobarton@gmail.com,,https://www.facebook.com/322181984319379,,,outpatient care facility,Castro,,Pasaje Alcalde Felipe Montiel 509,no,0.721,https://explore.overturemaps.org/#ced87851-3832-437a-96cd-459504b96e96
Servicios subiabre,77.968.018-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56931877501,servico.subiabrejyg@gmail.com,,https://www.facebook.com/237163116140014,,,contractor,Castro,,Calle Leocadio Araya 919,no,0.156,https://explore.overturemaps.org/#41758ea2-e416-42cf-90df-ef69df8d3938
Mangiare Dolce & Salato,78.030.528-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56950473020,mangiare.des@gmail.com,,https://www.facebook.com/110911741792995,,,pizza restaurant,Castro,,Pasaje Fotógrafo Gilberto Provoste 1579,no,0.573,https://explore.overturemaps.org/#e57637d2-ce19-4079-ac05-356dbf7f9be0
Barpani Pellet,77.420.167-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56964463675,contacto@barpani.cl,,https://www.facebook.com/106502288736355,,,hvac service,Castro,,Avenida Pablo Neruda 998,no,0.662,https://explore.overturemaps.org/#9dc9c806-727c-44c4-a2c6-39285c152e83
Chaulinec Spa,77.590.079-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56951954044,administracion@chaulinecspa.com,,https://www.facebook.com/100998982989528,,,grocery store,Castro,,Calle Senador Carlos Contreras Labarca 798,no,0.577,https://explore.overturemaps.org/#bbf0b2e6-801f-461d-ab91-d5e7faf30fdd
ferreteria el martillo,77.920.126-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56974900385,trinidadtureuna2004@gmail.com,,https://www.facebook.com/144659698733999,,,hardware store,Dalcahue,,Calle Ramón Freire 204,no,0.486,https://explore.overturemaps.org/#09e5878e-ae7c-4f91-b229-426a9a5e3b6a
Estudio territorio sur,77.515.636-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56965959934,estudioterritoriosur@gmail.com,,https://www.facebook.com/103604801549945,,,architectural designer,Dalcahue,,Elías Navarro 500,no,0.361,https://explore.overturemaps.org/#b1b8918b-d983-4490-8c98-0cee1371a958
Pietrelcina Spa,77.954.057-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56990355987,pietrelcinaspa@gmail.com,,https://www.facebook.com/442451888951777,,,bookstore,Dalcahue,,Calle Mocopilla 520,no,0.223,https://explore.overturemaps.org/#3433d96d-95d4-4c8f-879d-635162422ed2
Centro médico y dental Quellón,77.890.591-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56966793973,clinicadentalquellon@gmail.com,,https://www.facebook.com/557240538127579,,,outpatient care facility,Quellón,,Juan Ladrilleros 1440,no,0.943,https://explore.overturemaps.org/#046b6963-b541-4ef5-961e-68d7c6069bb7
Proyectos A+ Chiloe,77.701.455-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56941498616,a.maschiloe@gmail.com,,https://www.facebook.com/1794746960745174,,,architectural designer,Quellón,,ESQUINA (ANEXO - Santos Vargas 490,no,0.577,https://explore.overturemaps.org/#3794f1c5-86fb-4a82-b91e-12903c325802
Triada Sushi,78.354.819-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56964522372,sushitriada@gmail.com,,https://www.facebook.com/106078678733265,,,sushi restaurant,Quellón,,Freire 491,no,0.3,https://explore.overturemaps.org/#8dfb1648-bded-4837-aa2f-56e05a1a9584
Comercial Quellón,77.086.501-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56981373623,comercialquellon@gmail.com,,https://www.facebook.com/1296511250371662,,,hardware store,Quellón,,Avenida Pedro Montt 348,no,0.74,https://explore.overturemaps.org/#9eb4ce36-90a5-443e-935b-aa15868ed196
Óptica Montevideo,77.071.386-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56947426895,opticamontevideoquellon@gmail.com,,https://www.facebook.com/118979139506478,,,eyewear store,Quellón,,Juan Ladrilleros 225,no,0.922,https://explore.overturemaps.org/#3fcf031e-5cc9-4621-8b31-43260713239d
Sandwicheria La plancha spa.,78.369.156-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56984022555,erika.berna@gmail.com,,https://www.facebook.com/1051485974717871,,,restaurant,Quellón,,Ignacio Carrera Pinto 420,no,0.221,https://explore.overturemaps.org/#bed21ad8-bb12-4cd8-9453-e99e9a6930f9
Social bar,78.216.204-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56987499561,socialbarsandwicheria@gmail.com,,https://www.facebook.com/104945248770605,,,restaurant,Quellón,,Santos Vargas 196,no,0.361,https://explore.overturemaps.org/#f7af5d7f-5f65-49a7-a5b9-a49ea680f9dd
Donde Coco,78.433.629-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56981700366,cocojedatorres@gmail.com,,https://www.facebook.com/108403060546169,,,grocery store,Quellón,,Los Sauces 280,no,0.554,https://explore.overturemaps.org/#a9879493-0cd5-4669-8355-840ada1c2f54
Centro de Atención Psicológica Quellón,77.461.833-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56991288541,capquellon@gmail.com,,https://www.facebook.com/1523294657936923,,,psychology,Quellón,,Alberto Vanz 705,no,0.71,https://explore.overturemaps.org/#bef0b044-a6f7-455c-a1a1-41905bcc30d5
Construcciones Huenao,77.699.208-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56948590231,constru.huenao@gmail.com,,https://www.facebook.com/404071789459120,,,building or construction service,Curaco de Vélez,,Los Cisnes s/n,no,0.331,https://explore.overturemaps.org/#15bfe503-a95e-4196-b44f-621d925b8091
Kinesiología Maullín,77.995.768-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56979577218,kinesiologiamaullin@gmail.com,,https://www.facebook.com/347329881807581,,,health care,Maullín,,Calle Almeyda 321,no,0.272,https://explore.overturemaps.org/#a991c13d-c722-4594-ad51-8b2ff1218ae8
Ferremaq SPA,77.561.951-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56982589135,ferremaq.spa@gmail.com,,https://www.facebook.com/105851922268197,,,agriculture,Los Muermos,,Nueva Esperanza #100,no,0.804,https://explore.overturemaps.org/#1975f134-0ca8-4527-923f-92e301ac9cf1
Casa encanto spa,77.851.185-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56987169586,casa.encantospa@gmail.com,,https://www.facebook.com/151303444740571,,,,Los Muermos,,Calle Antonio Varas 209,no,0.599,https://explore.overturemaps.org/#419884e6-bc48-4d15-977e-940ec4312c47
La Turquita,78.026.756-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56932881145,libreriayocelyn@gmail.com,,https://www.facebook.com/566421523221168,,,womens clothing store,Los Muermos,,Calle Antonio Varas 209,no,0.273,https://explore.overturemaps.org/#b7a0729c-84ae-47ea-95cd-b38f8fa72432
Clinica Dental Los Ulmos,77.165.018-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56994352509,losulmosclinicadental@gmail.com,,https://www.facebook.com/892851037523448,,,hospital,Los Muermos,,Calle Antonio Varas 460,no,0.957,https://explore.overturemaps.org/#acb241d0-3e05-4cd6-96bd-93ba6c39a521
IGMA PARTS,77.611.295-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56934121313,poolcar79@gmail.com,,https://www.facebook.com/697507903793851,,,shopping,Los Muermos,,Calle Manuel Montt 141,no,0.514,https://explore.overturemaps.org/#9a925c4f-241e-4f78-8850-9a4edfac7f5e
Comercial Verde Mar,78.253.402-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56947871006,sociedadverdemarspa@gmail.com,,https://www.facebook.com/826258647240437,,,,Quemchi,,Calle Yungay 31,no,0.163,https://explore.overturemaps.org/#0064e1e4-5ba7-40df-b5e0-734558c883fe
YD Estetica spa,77.507.655-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56931431775,ydnailspa@gmail.com,,https://www.facebook.com/106121097423552,,,,Quemchi,,Avenida los alerces Puerto Montt,no,0.445,https://explore.overturemaps.org/#25bde86c-d76f-4c6e-b0b2-7d4415242ca2
Bazar Raices SpA,77.809.381-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56931193018,bazardelosnetes@outlook.es,,https://www.facebook.com/158765331353848,,,arts crafts and hobby store,Quemchi,,"Pedro montt, Almirante Riveros 137 con",no,0.216,https://explore.overturemaps.org/#7caf2951-d1f4-4f97-a23a-78f7e6b8925c
Date Un Gusto,77.779.116-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56977140695,dateungustospa@gmail.com,,https://www.facebook.com/500519739813267,,,restaurant,Dalcahue,,Ramón Freire 380,no,0.227,https://explore.overturemaps.org/#6a387122-490c-4408-9ed8-3a3b0e37f527
Costa Aituy,77.834.254-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56987468939,costa.aituy@gmail.com,,https://www.facebook.com/108069448344740,,,cabin,Queilén,,,no,0.877,https://explore.overturemaps.org/#ab46736e-deb2-43a6-93a9-3fdf370613e9
Vivero Copihue Austral,78.012.428-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56926036404,viverocopihueaustral@gmail.com,,https://www.facebook.com/474969422374277,,,nursery and gardening store,Los Muermos,,Cruce Planchado Los Indios,no,0.283,https://explore.overturemaps.org/#86cca8be-3550-4200-98ad-85039e709106
servicios comerciales meraki SPA,77.795.147-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56950041112,maka.schulz@hotmail.com,,https://www.facebook.com/497309817001055,,,flowers and gifts store,Fresia,,Camino Vecinal Norte Santa María 050,no,0.418,https://explore.overturemaps.org/#cedaf789-f882-45cb-9003-87ecdfe77331
Camping y cabañas Heartland,78.025.999-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56946291131,alerodriguezz2508@gmail.com,,https://www.facebook.com/514952901693576,,,rv park,Fresia,,"Sector Cau Cau, Parcelación Tres Ríos",no,0.885,https://explore.overturemaps.org/#fdcfc902-84ec-4142-bb57-bf621445836c
Creaxxiones Amaral,78.351.979-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56929219931,amaralcreaxxiones@gamil.com,,https://www.facebook.com/900598686480583,,,personal or beauty service,Fresia,,Manuel Rodriguez 226,no,0.366,https://explore.overturemaps.org/#80bb6d09-6e63-4738-b702-20b4aa63d2ec
Turismo Megaptera,77.791.614-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56922205421,turismomegaptera@gmail.com,,https://www.facebook.com/169561269576588,,,sightseeing tour agency,Cisnes,,Caleta Puyuhuapi sn,no,0.473,https://explore.overturemaps.org/#c484ef05-bca2-41d6-8ee8-f545b57f67d7
Klastex spa.,77.116.166-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56962259997,klastexspa@gmail.com,,https://www.facebook.com/1509971092654781,,,spa,Puerto Montt,,Pasaje El Tranque 2014,no,0.751,https://explore.overturemaps.org/#9da1091d-b32e-4587-a941-493973b39055
Laboratorio Dental Jireh,77.376.283-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56922433014,laboratoriodentaljireh@gmail.com,,https://www.facebook.com/102802478135762,,,cosmetic dentistry,Coronel,,,no,0.51,https://explore.overturemaps.org/#a5795249-f999-4766-bd51-fa10cecce68f
Diseño Urbano,77.465.109-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56956238129,disenourbanorionegro403@gmail.com,,https://www.facebook.com/102694042065547,,,printing service,Río Negro,,Calle Pedro Montt 394,no,0.5,https://explore.overturemaps.org/#8da0aac4-ff5d-41ea-8cef-306ecad2953a
Centro Medico RIO NEGRO,77.333.615-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56999393041,centromedicorionegro@gmail.com,,https://www.facebook.com/101801448695678,,,health care,Río Negro,,Calle Pedro Montt 186,no,0.675,https://explore.overturemaps.org/#016f201c-2884-4e79-9a38-676ef3060667
Optica verdel,77.844.294-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56986518288,opticaverdel@gmail.com,,https://www.facebook.com/122631080944806,,,health care,Río Negro,,Avenida Buschmann 17a,no,0.741,https://explore.overturemaps.org/#399ce016-62ae-4a86-9e33-825422afb179
Electro Futuro S.p.A.,77.283.786-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56939073348,electro-futuro@hotmail.com,,https://www.facebook.com/105217221624494,,,mobile phone store,Río Negro,,Avenida Buschmann 17b,no,0.657,https://explore.overturemaps.org/#aa7fda09-ea79-46ec-b714-30700d88209d
Jardín Katruy,77.544.554-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56957205517,jardinkatruy@gmail.com,,https://www.facebook.com/1252147251605660,,,nursery and gardening store,Puerto Varas,,Línea Errazuriz puerto varas,no,0.797,https://explore.overturemaps.org/#25bbc198-a864-4c92-b194-a7b51ee6f5e4
Madecentro sur,77.208.598-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56935481245,madecentrosur@gmail.com,,https://www.facebook.com/428802397597651,,,hardware store,Calbuco,,Calle Pedro Félix Oyarzún 412,no,0.713,https://explore.overturemaps.org/#f7669c46-9d85-40d7-9fd7-cf1686bb56b4
QUICK CONNECTION SpA,77.960.143-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56928849321,quick.connectionspa@gmail.com,,https://www.facebook.com/489240724283085,,,hardware store,Purranque,,Calle 5 de Abril 10b,no,0.256,https://explore.overturemaps.org/#d1b4acf7-564a-4ddb-9b17-7292ab5cc0cd
Gym Fuerza Hiit,78.257.747-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56992043087,gymfuerzahiit@gmail.com,,https://www.facebook.com/241485835725416,,,gym,Purranque,,Calle Las Heras 29,no,0.693,https://explore.overturemaps.org/#71612678-4fb8-419d-855b-80b2d9da5122
Comercial Alerzales SpA,77.566.478-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56965750268,alerzalespurranque@gmail.com,,https://www.facebook.com/108423075568590,,,grocery store,Purranque,,Calle Aníbal Pinto G. 224,no,0.46,https://explore.overturemaps.org/#69637530-a689-48dc-90cc-38b8613a5095
Construcciones Collinao,78.251.079-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56956500413,andresf.gonzalezdiaz@gmail.com,,https://www.facebook.com/105043902347198,,,building or construction service,Purranque,,"Purranque, Los Lagos, República de Chile",no,0.118,https://explore.overturemaps.org/#0d9c9ed0-9243-477f-8b67-73011a02fa24
Clínica Veterinaria Manquemapu,77.421.897-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56975532936,rubensotoimioc@gmail.com,,https://www.facebook.com/106220744847086,,,veterinarian,Purranque,,Calle Tomás Burgos 321,no,0.98,https://explore.overturemaps.org/#eabca41b-8358-4fec-afb0-d5869be4b1ad
NEOS Especialidades Odontologicas,77.421.689-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56944801569,odontologianeos@gmail.com,,https://www.facebook.com/108384691599148,,,dental clinic,Osorno,,Avenida Doctor Guillermo Bühler 1999,no,0.948,https://explore.overturemaps.org/#36c5ecf3-9247-4493-bdcd-dd01fd0fbdf9
pod_cos,77.504.146-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56982429039,podcos57@gmail.com,,https://www.facebook.com/100243609481695,,,,Osorno,,Avenida Doctor Guillermo Bühler 1999,no,0.177,https://explore.overturemaps.org/#5e2614c7-56e3-4639-add2-9f7274394fdf
Biostep,78.139.996-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56978504000,gestion@biosteportopedia.cl,,https://www.facebook.com/589956457540301,,,orthopedics,Osorno,,Avenida Doctor Guillermo Bühler 1995,no,0.29,https://explore.overturemaps.org/#68459b8e-edbb-4233-b01d-d817de98d141
Copas & Co,78.257.537-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56977239429,info@copasycompania.com,,https://www.facebook.com/584389371426670,,,liquor store,Osorno,,Calle Jardín Las Quemas 4,no,0.581,https://explore.overturemaps.org/#0e6e87a8-88ea-4413-a36a-06da24c6c3c4
Selene Studio Training,78.329.359-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56987549717,selenestudio.osorno@gmail.com,,https://www.facebook.com/1124061114117355,,,gym,Osorno,,Calle Lemosin 3116,no,0.308,https://explore.overturemaps.org/#d79f71e3-b093-45ed-aed3-e5f25bb45f6f
Kinder Home,76.989.432-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56950979299,info@kinderhome.cl,,https://www.facebook.com/1056545114472248,,,day care preschool,Osorno,,Avenida Zenteno 2930,no,0.964,https://explore.overturemaps.org/#20080884-0e84-4c95-b569-1a7ea3240bc5
Vivero el Oasis,78.042.134-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56988786688,jardineloasis@gmail.com,,https://www.facebook.com/180193858843108,,,nursery and gardening store,Frutillar,,,no,0.813,https://explore.overturemaps.org/#328e42ca-864a-48b5-a26b-01402f0f2a06
Belleza y bienestar,78.435.741-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56979521817,gonzalezyoce5@gmail.com,,https://www.facebook.com/108681904071600,,,,Calbuco,,Calle Caupolicán 6,no,0.271,https://explore.overturemaps.org/#195d6dd7-8054-4d99-90c7-a9171270fefd
Tecnopolis jd,77.264.434-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56933289476,tecnopolisjd@gmail.com,,https://www.facebook.com/105027811231643,,,mobile phone store,Calbuco,,Calle Antonio Varas 86,no,0.531,https://explore.overturemaps.org/#e16228e1-29e1-413a-b92a-f7375a95d638
