nombre_empresa,rubro,rut,confianza_rut,canal_contacto,telefono,email,instagram,facebook,tiktok,whatsapp,direccion,comuna,region,lat,lon,tiene_sitio_web,fuente
Alto Lawuen,restaurant,,,telefono,+56 950 826 389,,https://instagram.com/alto_lawuen,,,,Avenida Presidente Frei,Cañete,,-37.7916843,-73.3888696,no,https://www.openstreetmap.org/node/2852195687
XL,fast food,,,telefono,+56986851413,,https://instagram.com/xlsandwich,,,,Avenida Los Placeres 333,,,-33.0368622,-71.5958364,no,https://www.openstreetmap.org/node/3029095968
Sumo Sushi,restaurant,,,telefono,+56 413 233 301,,https://instagram.com/sumo.sushi.bar,,,,Avenida Paicaví 217,Concepción,,-36.8260224,-73.0407201,no,https://www.openstreetmap.org/node/3110308118
Chef Carlitos,restaurant,,,telefono,+56 413 242 133,chefcarlito@gmail.com,https://instagram.com/chefcarlitos_oficial,https://facebook.com/Rchefcarlitos,,,San Martín 1447,,,-36.8244282,-73.0394553,no,https://www.openstreetmap.org/node/3238969150
Riescoffee,cafe,,,red social,,,https://www.instagram.com/riescoffee,,,,Germán Riesco Errázuriz 609,San Vicente de Taguatagua,,-34.4401693,-71.075014,no,https://www.openstreetmap.org/node/3393301364
Tokio Wok & Bar,fast food,,,red social,,,https://instagram.com/tokiowokbol,,,,125,Concepción,,-36.826526,-73.0403556,no,https://www.openstreetmap.org/node/3574909900
Café Callejón,cafe,,,red social,,,https://instagram.com/cafecallejon,,,,Diagonal Pedro Aguirre Cerda 1269,Concepción,,-36.8265543,-73.0406693,no,https://www.openstreetmap.org/node/3574909901
Deli House,restaurant,,,telefono,+56 939 342 952,,https://instagram.com/deli_house,,,,Diagonal Pedro Aguirre Cerda 1234,Concepción,,-36.8267256,-73.0413945,no,https://www.openstreetmap.org/node/3574950795
Ala Turca,restaurant,,,red social,,,https://instagram.com/alaturca_concepcion,,,,Avenida Paicaví 395,Concepción,,-36.8243633,-73.0417713,no,https://www.openstreetmap.org/node/3574950798
Bio-Boulder,,,,red social,,,https://instagram.com/bioboulder_escalada,https://facebook.com/bio.boulder,,,Aníbal Pinto 1220,Concepción,,-36.8189103,-73.05445,no,https://www.openstreetmap.org/node/3667170626
Yang Yang Bubble Tea,cafe,,,red social,,,https://instagram.com/yangyangbubbletea,,,,Diagonal Pedro Aguirre Cerda 1238,Concepción,,-36.8267378,-73.0410691,no,https://www.openstreetmap.org/node/3718818144
Bicicleteria El Pelao,bicycle,,,telefono,+56 9 4707 8226,,https://instagram.com/bicicleteriaelpelao,,,,,,,-39.2754055,-71.9708665,no,https://www.openstreetmap.org/node/3739757507
Restaurant Izakaya Yoko,restaurant,,,red social,,,https://www.instagram.com/izakaya.yoko_,,,,Del Salvador 547,Puerto Varas,Región de Los Lagos,-41.3177699,-72.9862846,no,https://www.openstreetmap.org/node/3924284249
Lo del Ale,,,,telefono,+56 952216808,reservaslodelale2017@gmail.com,https://www.instagram.com/camping_chilechico,https://web.facebook.com/p/Camping-lo-del-Ale-100063481271303,,,Avenida Bernardo O'Higgins,,,-46.5428312,-71.7152169,no,https://www.openstreetmap.org/node/4490852498
Eco Camping Pichicolo,,,,red social,,,https://instagram.com/ecocampingpichicolo,,,,,,,-42.0000452,-72.5944625,no,https://www.openstreetmap.org/node/4617428449
Clubfit Gym,,,,telefono,+56 9 5453 5503,contactoclubfitgym@gmail.com,https://www.instagram.com/clubfit_gym/?hl=es,https://www.facebook.com/p/ClubFit-Gym-100063452511156,,,Las Quilas 1420,,,-36.9827922,-73.1616875,no,https://www.openstreetmap.org/node/4650014964
Tren al Sur Café,cafe,,,red social,,,https://instagram.com/oliverscoffeeespeciality,,,,Avenida Italia 1354,Providencia,,-33.4470995,-70.6245178,no,https://www.openstreetmap.org/node/4652320620
LavaTú,laundry,,,telefono,+56956993082,,https://instagram.com/lavatu_castro,,,,Gamboa 592,Castro,,-42.4817821,-73.7680589,no,https://www.openstreetmap.org/node/4654747292
Cumbres Pizza,restaurant,,,telefono,+ 56 949936009,cumbrespizza@gmail.com,https://instagram.com/cumbres.pizza,https://facebook.com/cumbrespizza?_rdc=1&_rdr,,,Teniente Merino 501,,,-47.2532548,-72.5756597,no,https://www.openstreetmap.org/node/4717131712
Berlintexx,clothes,,,red social,,,https://instagram.com/btx_cl,,,,Barros Arana 724,,,-36.8262319,-73.0494912,no,https://www.openstreetmap.org/node/4787459021
Cervecería Tehuelche,pub,,,telefono,+56 966283961,tabernatehuelche@gmail.com,https://instagram.com/cerveceriatehuelche,https://facebook.com/tabernatehuelche,,,Teniente Merino 372,,,-47.253225,-72.5759281,no,https://www.openstreetmap.org/node/5171865252
Camping Río Cajón,,,,telefono,+56 9 8198 9572,,https://instagram.com/camping_rio_cajon,,,,,,,-46.1283401,-72.5591991,no,https://www.openstreetmap.org/node/5219553221
La picá de Pedro,restaurant,,,telefono,+56 412 245 424,lapicadepedro2@gmail.com,https://instagram.com/lapicadepedro_ccp,,,,Rengo 1502,Concepción,,-36.8168268,-73.0588502,no,https://www.openstreetmap.org/node/5229411221
Margoni Bike,bicycle,,,telefono,+56 9 6607 9203,,https://instagram.com/margonibike,https://facebook.com/margonibike,,+56 9 6607 9203,,,,-53.1483933,-70.9090608,no,https://www.openstreetmap.org/node/5250642622
Supermercado El Arriero,convenience,,,red social,,,https://instagram.com/supermercado_elarriero,,,,San Valentín 146,,,-47.2518027,-72.578947,no,https://www.openstreetmap.org/node/5401285780
Los Pincheira,fast food,,,red social,,,https://instagram.com/lospincheira.nunoa,,,,Alcalde Jorge Monckeberg 756,Ñuñoa,,-33.4618292,-70.5845236,no,https://www.openstreetmap.org/node/5419522921
Maga,yes,,,telefono,+56 412 247 076,comercial.maga@gmail.com,https://instagram.com/maga_refrigeracion,https://facebook.com/p/Maga-Refrigeraci%C3%B3n-100063494003899,,,Rengo 898,,,-36.8233188,-73.0548965,no,https://www.openstreetmap.org/node/5444086407
Farmacia Veterinaria Vidas,pharmacy,,,telefono,+56 950 581 932,,https://instagram.com/farmaciaveterinariavidas,,,,Colo Colo 659,,,-36.8242126,-73.0497678,no,https://www.openstreetmap.org/node/5648436143
Panadería Dulce Secreto,bakery,,,red social,,,https://instagram.com/dsecreto2023,,,,Arturo Fernández Vial 2816,,,-36.8080808,-73.0723304,no,https://www.openstreetmap.org/node/5648491911
Maldita Sea,nightclub,77.804.201-0,probable (nombre+comuna contra Registro de Empresas y Sociedades),red social,,,https://instagram.com/malditasea.ccp,,,,Rengo 1624,Concepción,,-36.8160146,-73.0594468,no,https://www.openstreetmap.org/node/5821377687
Camping El Paraíso,,,,telefono,+56 9 9464 1062,,https://instagram.com/paraisodecuracautin,https://facebook.com/CampingElParaisoCuracautin,,,,,,-38.4558657,-71.8691077,no,https://www.openstreetmap.org/node/5897301350
Camping Refugio Neozelandes,,,,telefono,+56 9 9302 1403,,https://instagram.com/camping_refugio_neozelandes,,,,,,,-46.1159197,-72.2202956,no,https://www.openstreetmap.org/node/5966792315
Cabaña Nirvana,,,,telefono,+56 984739212; +56 956294589,ingrid_espinoza03@hotmail.com,https://instagram.com/c.nirvanacochrane,https://facebook.com/profile.php?id=100077746694090,,,San Valentín 798,,,-47.2513981,-72.5796484,no,https://www.openstreetmap.org/node/6267108944
La Zaranda,restaurant,,,red social,,,https://instagram.com/lazarandacochrane,,,,,,,-47.2522522,-72.5671859,no,https://www.openstreetmap.org/node/6267108990
Regalitos Luna,gift,,,correo,,luna.salas1978@gmail.com,https://instagram.com/tienda.regalitosluna,https://facebook.com/profile.php?id=100054260870441,,,Doctor Steffens 206,,,-47.2540722,-72.5785994,no,https://www.openstreetmap.org/node/6267109118
Mantencion Bike,bicycle,,,red social,,,https://instagram.com/mantencionbike,https://facebook.com/MantencionBike,,,,,,-35.3290604,-72.4124349,no,https://www.openstreetmap.org/node/6332832749
Illuminati,nightclub,,,red social,,,https://www.instagram.com/illuminati_disco,,,,Antonia López de Bello 133,Recoleta,,-33.43174,-70.6393071,no,https://www.openstreetmap.org/node/7027175885
Café & Pastelería Planeta Brunch,cafe,,,telefono,+56 9 6523 0039,,https://www.instagram.com/planetabrunch,,,,Lautaro 175,Valdivia,Región de Los Ríos,-39.8162373,-73.2472107,no,https://www.openstreetmap.org/node/7139782854
Rincón Tulahuén,handicraft,,,red social,,,https://instagram.com/rtulahuen2,,,,,,,-30.9651506,-70.7679262,no,https://www.openstreetmap.org/node/7167849559
Bocetto,cafe,,,red social,,,https://instagram.com/cafebocetto,https://facebook.com/cafe,,,,,,-29.9024863,-71.2492718,no,https://www.openstreetmap.org/node/7167930099
4ta Avenida,restaurant,,,red social,,,https://instagram.com/4ta.avenida;#4taavenida,,,,,,,-29.9055778,-71.2526191,no,https://www.openstreetmap.org/node/7167934114
Almacén Tulahuén,convenience,,,red social,,,https://instagram.com/almacentulahuen,https://facebook.com/almacén,,,,,,-30.9627809,-70.7717062,no,https://www.openstreetmap.org/node/7167940291
El Chico Leo,restaurant,,,telefono,652681567,,https://instagram.com/hotel.elchicoleo,,,,Costanera Pedro Montt 325,,,-43.1206649,-73.6174803,no,https://www.openstreetmap.org/node/7253158986
Aerolineas Estelar,travel agency,,,telefono,+56-973-108342,,https://www.instagram.com/aerolineasestelar,https://www.facebook.com/Aerolineas-Estelar-253492251349207,,,Avenida Los Leones 211,Providencia,,-33.4218474,-70.6053539,no,https://www.openstreetmap.org/node/7310533049
Poco Box,,,,telefono,+56985055756,,https://instagram.com/pocobox.qlcr,,,+56985055756,Lo Marcoleta 170,,,-33.3583948,-70.7388393,no,https://www.openstreetmap.org/node/7459548413
Kassa Houseware Store,houseware,,,red social,,,https://instagram.com/kassaconcepcion.cl,,,,Barros Arana 890,Concepción,,-36.8254423,-73.0476039,no,https://www.openstreetmap.org/node/8197819219
Bosques de Chacay BikePark,,,,telefono,+56 9 8401 8668,,https://instagram.com/bosquesdechacaycl,https://facebook.com/bosquesdechacay,,,,,,-37.347648,-72.9160881,no,https://www.openstreetmap.org/node/8235201898
La Plancha,restaurant,,,red social,,,https://instagram.com/laplanchasandwich,https://facebook.com/laplanchasandwich,,,,,,-33.561443,-70.7592051,no,https://www.openstreetmap.org/node/8244791151
Bon Moment Helados,ice cream,,,red social,,,https://www.instagram.com/bonmoment.helados,,,,,,,-37.5012804,-72.6734161,no,https://www.openstreetmap.org/node/8265173973
Divinos Boutique,variety store,,,red social,,,https://www.instagram.com/divinos_byb/?hl=es-la,https://www.facebook.com/Divinos.byb,,,,,,-37.5010917,-72.6723969,no,https://www.openstreetmap.org/node/8265173974
Tamara,,,,red social,,,https://instagram.com/t_aam_,,,,,,,-35.5942697,-71.7396255,no,https://www.openstreetmap.org/node/8815127677
La Cahuileña,fast food,,,telefono,+56 954044079,,https://www.instagram.com/lacahuilena,,,,Camino a Cáhuil,Cáhuil,,-34.4838419,-72.0109154,no,https://www.openstreetmap.org/node/9027401585
Camping Aquasol,,,,telefono,+56 9 8894 7540,,https://instagram.com/campingaquasolcochran_,https://facebook.com/CampingAquaSol,,,,,,-47.2539258,-72.5450528,no,https://www.openstreetmap.org/node/9203200770
Topshoes Calzados,shoes,,,red social,,,https://www.instagram.com/topshoes_calzados,,,,,,,-34.1677503,-70.7502196,no,https://www.openstreetmap.org/node/9238348876
La Casa Jardín,kindergarten,,,red social,,,https://www.instagram.com/jardinlacasajardin,https://www.facebook.com/jardinlacasajardin,,,,,,-33.6597835,-70.8788001,no,https://www.openstreetmap.org/node/9355689741
Buffalo Patagón,restaurant,,,telefono,+56 9 4953 8303,,https://instagram.com/buffalo.patagon,,,,,,,-41.9654647,-72.468633,no,https://www.openstreetmap.org/node/9712853717
Chile Ferret,hardware,77.803.335-6,probable (nombre+comuna contra Registro de Empresas y Sociedades),telefono,+56957173892,,https://instagram.com/chileferret,https://www.facebook.com/chileferret,,,Andrés Bello 406,Limache,,-33.011446,-71.2584002,no,https://www.openstreetmap.org/node/9805201331
CasayPlanta,garden centre,,,telefono,+56323516554,,https://www.instagram.com/casayplanta,,,,Avenida Blanca Estela 2035,Concón,,-32.94206,-71.5223211,no,https://www.openstreetmap.org/node/9966567260
Gales Restobar,pub,,,red social,,,https://www.instagram.com/galesrestobar_,,,,,,,-33.4385828,-70.5604613,no,https://www.openstreetmap.org/node/10080791383
Basilico Pizzería,restaurant,,,telefono,+56 9 3053 5922,,https://instagram.com/basilicopizzeria.cl,,,,El Escorial 451,Estación Central,,-33.4670968,-70.7095209,no,https://www.openstreetmap.org/node/10129829836
D'talles,stationery,,,red social,,,https://instagram.com/dtallescecy,https://facebook.com/Cecy,,,Homero Castro 150,,,-32.88822,-71.2453676,no,https://www.openstreetmap.org/node/10209616033
Los Paisas,fast food,,,telefono,+56956717697,,https://instagram.com/Los,,,,Coronel Santiago Bueras,Limache,,-33.0104776,-71.2688144,no,https://www.openstreetmap.org/node/10217717332
Camping El Canto del Agua,,,,telefono,+56 9 7772 1800,,https://instagram.com/camping_elcantodelagua,https://facebook.com/100063496273155,,,,,,-38.4640291,-71.8566204,no,https://www.openstreetmap.org/node/10492179910
Coffees & Barbers,hairdresser,,,red social,,,https://www.instagram.com/coffees.barbers.co,,,,,,,-33.4503818,-70.5883702,no,https://www.openstreetmap.org/node/10605358617
La Emperatriz,beauty,,,red social,,,https://www.instagram.com/laemperatrizcl,,,,,,,-33.4504021,-70.5883246,no,https://www.openstreetmap.org/node/10612548626
Ipechi Lautaro,place of worship,,,red social,,,https://www.instagram.com/jupechilautaro,,,,,,,-38.5375951,-72.4379861,no,https://www.openstreetmap.org/node/10674980514
Republimarket,convenience,,,telefono,+56942140699,,https://instagram.com/republimarket,https://facebook.com/republimarkettualmacen,,,,,,-33.0070496,-71.2531319,no,https://www.openstreetmap.org/node/10735076555
Jardín Infantil y Sala Cuna Creceres,kindergarten,,,red social,,,https://www.instagram.com/creceres_jardines,,,,,,,-33.4168765,-70.5522803,no,https://www.openstreetmap.org/node/10981086168
La,restaurant,,,telefono,+56945341770,,https://instagram.com/la.picademacul,,,,Las Dalias 2707,,,-33.4794009,-70.6029729,no,https://www.openstreetmap.org/node/11078009205
Reina Victoria,cafe,,,telefono,9 3711 7661,reinavictoria.cl@gmail.com,https://instagram.com/reinavictoria.cl,https://facebook.com/100063791003667,,,Paseo Peatonal Independencia 667,,,-34.1696658,-70.7443266,no,https://www.openstreetmap.org/node/11144364435
Patitas Felices,pet,,,telefono,+56 9 5053 4159,,https://www.instagram.com/Patitasfelices1147,,,+56 9 5053 4159,Avenida Salesianos 1147,San Miguel,,-33.4918215,-70.6529571,no,https://www.openstreetmap.org/node/11149078530
Dreams Café,cafe,77.604.374-5,probable (nombre+comuna contra Registro de Empresas y Sociedades),red social,,,https://instagram.com/dreamscafetogo,,,,Avenida Chacabuco 1356,Concepción,,-36.8274116,-73.0394424,no,https://www.openstreetmap.org/node/11164004461
Lucerna,bakery,,,telefono,+56 412 228 912,heladerialucerna@gmail.com,https://instagram.com/panaderialucerna,,,,Barros Arana 1001,,,-36.8245622,-73.0459834,no,https://www.openstreetmap.org/node/11164201143
Club Tengen de Go,,,,red social,,,https://instagram.com/clubtengen,,,,General Parra 674,Providencia,,-33.4340184,-70.6242423,no,https://www.openstreetmap.org/node/11281172534
Club de GO Chileno,,,,red social,,,https://instagram.com/hoshinokoen,,,,,,,-33.4444366,-70.6793194,no,https://www.openstreetmap.org/node/11281487038
Club de Go ICO,,,,red social,,,https://www.instagram.com/clubdegoico,,,,,,,-33.4157338,-70.5694437,no,https://www.openstreetmap.org/node/11281492826
Escuela Especial de Lenguaje Semillita,school,,,telefono,+56412471252;+56982010261,elenguaje.semillita@gmail.com,https://instagram.com/elenguaje.semillita,,,,Los Pitíos 643,Hualpén,,-36.7932838,-73.0812771,no,https://www.openstreetmap.org/node/11281839111
Escuela Especial Play School,school,,,red social,,,https://instagram.com/cetplayschool23,,,,Las Rosas 1735,San Pedro de la Paz,,-36.8348805,-73.1092877,no,https://www.openstreetmap.org/node/11329087595
Cibus Restobar,bar,,,telefono,+56 233 171 402,,https://instagram.com/cibus_ccp,,,,Edmundo Larenas 134,Concepción,,-36.8296236,-73.0386833,no,https://www.openstreetmap.org/node/11362559492
Federación de Estudiantes Universidad de Concepción,university,,,red social,,,https://instagram.com/fec.udec,,,,119,Concepción,,-36.8270705,-73.0404407,no,https://www.openstreetmap.org/node/11369616637
Buena Vida,restaurant,,,telefono,+56 958067202,,https://instagram.com/buenavidaccp,,,,Diagonal Pedro Aguirre Cerda 1279,Concepción,,-36.8265788,-73.0405458,no,https://www.openstreetmap.org/node/11369866467
Odontológika,dentist,,,telefono,+56 412 520 000,,https://instagram.com/clinica_odontologika,,,,Avenida Chacabuco 1375,Concepción,,-36.826639,-73.0389824,no,https://www.openstreetmap.org/node/11369866468
Nativos,pub,,,red social,,,https://instagram.com/nativos_ccp,,,,Janequeo 115,Concepción,,-36.8265421,-73.0387475,no,https://www.openstreetmap.org/node/11369868969
Camping Natour,,,,telefono,+56 9 4234 2799,,https://instagram.com/chile.natour.cl,https://facebook.com/natour.cl,,,,,,-42.8550513,-72.7960397,no,https://www.openstreetmap.org/node/11401523632
Renacer,bakery,,,red social,,,https://instagram.com/panaderia_renacer_canete,,,,Avenida Presidente Frei 637,Cañete,,-37.7931214,-73.3902964,no,https://www.openstreetmap.org/node/11411028570
Nueva Ilusión,fast food,,,telefono,+56 412 156 706,,https://instagram.com/restaurante_nuevailusion,,,,José M. Infante,Cañete,,-37.7944197,-73.3912147,no,https://www.openstreetmap.org/node/11411028572
Meraki,cafe,,,red social,,,https://instagram.com/meraki.canete,,,,Saavedra 691,Cañete,,-37.8009148,-73.3999611,no,https://www.openstreetmap.org/node/11413629061
Nuez Café,restaurant,,,red social,,,https://instagram.com/nuez_cafe,,,,Saavedra 892,Cañete,,-37.7993547,-73.3991123,no,https://www.openstreetmap.org/node/11413631279
Bendita Pizza,fast food,,,telefono,+56 987 387 953,,https://instagram.com/pizzabendita.cl,,,,O'Higgins 982,Concepción,,-36.825989,-73.0456078,no,https://www.openstreetmap.org/node/11423156724
Divina Gula,restaurant,,,telefono,987531079,,https://instagram.com/Divina_gula,,,,"Ruta 66 KM 62, Las Cabras",,,-34.171739,-71.397466,no,https://www.openstreetmap.org/node/11495403369
Madeleine,bakery,,,telefono,+56 9 8868 4571,,https://instagram.com/madeleine.panaderia,,,,Avenida Condell 1636,,,-33.4495412,-70.6249935,no,https://www.openstreetmap.org/node/11515215169
Rustik,cafe,,,red social,,,https://instagram.com/rustik_coffee,,,,Avenida Italia 1439,,,-33.4477422,-70.6250944,no,https://www.openstreetmap.org/node/11515218269
Café Black Mamba,cafe,,,red social,,,https://instagram.com/cafeblackmamba,,,,Huelén 71,,,-33.4314078,-70.6232354,no,https://www.openstreetmap.org/node/11515225069
Farmacia integral,pharmacy,,,red social,,,https://instagram.com/farma.integral,,,,Avenida Irarrázaval 660,,,-33.4529166,-70.6234857,no,https://www.openstreetmap.org/node/11515375870
Farmacia Ekonoplus,pharmacy,,,red social,,,https://instagram.com/ekonoplus.farmacia,https://facebook.com/ekonoplus.farmacia,,,Cirujano Videla 1315,,,-33.451634,-70.6178332,no,https://www.openstreetmap.org/node/11515380270
La Cava del Barrio,wine,,,red social,,,https://instagram.com/lacavadelbarrio,,,,Avenida Italia 1449,,,-33.4478454,-70.6249087,no,https://www.openstreetmap.org/node/11557681069
La Temucana,bakery,,,red social,,,https://instagram.com/la_temucana,,,,Avenida Quebrada de Macul 7191,,,-33.5069848,-70.5588229,no,https://www.openstreetmap.org/node/11558491467
Runway Automotriz,,,,telefono,+56998466559,,https://instagram.com/run_wayautomotriz,,https://tiktok.com/run_wayautomotriz,,,,,-33.0250636,-71.2745829,no,https://www.openstreetmap.org/node/11608623988
Vintage Burgers,fast food,,,telefono,+56 962 242 620,,https://instagram.com/vintage_burgers,,,,Segundo de Línea 757,Cañete,,-37.8006958,-73.3976077,no,https://www.openstreetmap.org/node/11631823637
Hotel Mont Suite,,,,telefono,+56 9 79976074,hotelmontsuite@gmail.com,https://instagram.com/hotelmontsuite_monteaguila,,,,Zañartu 95,,,-37.0835746,-72.4388065,no,https://www.openstreetmap.org/node/11635419788
Gastrobar Supremo,bar,,,telefono,+56 9 86015359,,https://instagram.com/supremogastrobar,,,,Zañartu 95,,,-37.0841278,-72.4389829,no,https://www.openstreetmap.org/node/11635419790
Camping Patagonia,,,,telefono,+56 9 6292 3349,,https://instagram.com/camping.patagonia,,,,,,,-39.8253719,-72.0483774,no,https://www.openstreetmap.org/node/11638827509
AKA Sushi & Burger,restaurant,,,telefono,+56920193948,,https://www.instagram.com/akasushiburger,,,,Avenida Parque Central Oriente 1231,Maipú,,-33.5617629,-70.7851052,no,https://www.openstreetmap.org/node/11727112815
Club de Go Kawabata,,,,red social,,,https://www.instagram.com/kawabata_go,,,,,,,-33.0349515,-71.5949844,no,https://www.openstreetmap.org/node/11867570197
Kinwa,fast food,,,telefono,+56 977 525 268,kinwachile@gmail.com,https://instagram.com/kinwachile,https://facebook.com/kinwachile,,,Avenida Paicaví 93,Concepción,,-36.8273505,-73.0398605,no,https://www.openstreetmap.org/node/11899835311
Club Boga,nightclub,,,red social,,,https://instagram.com/clubboga,,,,Argentina 602,Concepción,,-36.8151426,-73.0572295,no,https://www.openstreetmap.org/node/11914376828
Buses Cordillera,ticket,,,telefono,+56 954 253 232,,https://instagram.com/buses_cordillera,,,,Tucapel 875,Concepción,,-36.8210742,-73.0486139,no,https://www.openstreetmap.org/node/11961021283
Bar Galería Aura,bar,,,telefono,+56 986 420 646,,https://instagram.com/bargaleriaaura_,,,,Ongolmo 42,Concepción,,-36.8281791,-73.0405222,no,https://www.openstreetmap.org/node/11963849352
Dulces Ñami,confectionery,,,whatsapp,,,https://instagram.com/dulces_nami,,,56976877931,Avenida La Concepción 994,,,-33.0152037,-71.2635952,no,https://www.openstreetmap.org/node/12152209826
Museo de Constitución,,,,red social,,,https://instagram.com/museo_de_constitucion,,,,Freire 412,Constitucion,,-35.330911,-72.4121049,no,https://www.openstreetmap.org/node/12291983414
Food Truck El Bajón de Escalador,fast food,,,telefono,+56989148895,,https://instagram.com/Elbajondeescalador,,,,Arturo Prat,,,-41.4951759,-72.3102683,no,https://www.openstreetmap.org/node/12304919001
El Glotón del Brayan,fast food,,,red social,,,https://instagram.com/elgloton_delbrayan,,,,,,,-33.615458,-70.5867957,no,https://www.openstreetmap.org/node/12335836833
Al San Lorenzo Burger & Sushi,bar,,,telefono,+56 981845264,,https://instagram.com/al_san_lorenzo_cochrane,,,,Doctor Steffens,,,-47.2544895,-72.5744895,no,https://www.openstreetmap.org/node/12347109401
Mi Padel,,,,red social,,,https://instagram.com/mipadel.sanjoaquin,,,,Juan Sebastián Bach 236,,,-33.4799079,-70.6261735,no,https://www.openstreetmap.org/node/12417400301
Papa's Shop,bar,,,red social,,,https://instagram.com/papashop.cl,,,,Avenida Providencia 455,,,-33.43505,-70.6274804,no,https://www.openstreetmap.org/node/12423422801
Camping Sendero Cerro Castillo,,,,telefono,+56 9 9717 5431,,https://instagram.com/camping_sendero_cerro_castillo,,,,,,,-46.1121088,-72.2001254,no,https://www.openstreetmap.org/node/12424836401
Refugio Río Cóndor y Cerveza Milenaria,,,,telefono,+56992171535,leoskatan@hotmail.com,https://instagram.com/refugio_rio_condor;@cerveza_milenaria_artesanal,,,,,Villa O´higgins,,-48.820435,-73.0212414,no,https://www.openstreetmap.org/node/12453122228
KEN SHIN KAN - GOJU RYU - KARATE DO,dojo,,,telefono,+56984689297,kskmagallanes@gmail.com,https://instagram.com/kenshinkan_magallanes,https://facebook.com/Ken,,,Enrique Abello 0292,Punta Arenas,,-53.1370364,-70.8954375,no,https://www.openstreetmap.org/node/12455828781
